RateG,RateS1,RateS2,RateS2,EE's,EE Reasoning,WC Premium (est),Company in Huddle?,"If Yes, Has a P&C producer had meeting in last 12 mo?",In EPIC as a Client?,Heff CRM Check Okay?,Manual Override to Add? (Trigger),Final Okay to Add? (Trigger),Bureau Number,Primary Name,Street Address,City,State,Zip Code,County,Governing Class,Description,Ex Mod Year,ExMod,Updated On,ExMod Change,SubClass1,Desc1,SubClass2,Desc2,PriorExModYear1,PriorExMod1,PriorExModYear2,PriorExMod2,PriorExModYear3,PriorExMod3,PriorExModYear4,PriorExMod4,GoogleSearch,CopyPasteURL,Processing
$5.69,0,0,$5.69,75,"Company identity verified as **Delicate Cosmetics, Inc.** (aliases: Delicate Cosmetics) at **10741 Sherman Way #2, Sun Valley, CA 91352** matching name and exact address in [4]. Maturity: Established 2004 (~22 years, class **C**, floor=50)[5]. ZoomInfo provides usable range **51-200** employees for matching entity/geography[3]; RocketReach shows 17[1][4] but lower priority. ZoomInfo takes precedence as primary source, ≥floor, no >2x outlier vs. range. Enforce floor validation: 51 ≥50, use low-end integer 75 within range as conservative consensus point.","$72,120.75",,,,Yes,,Yes,7795248,"DELICATE COSMETICS, INC.",10741 SHERMAN WAY #2,SUN VALLEY,CA,91352,Los Angeles County,4623,COSMETIC/PERSONAL CARE PRODUCTS MFG,26,169,2/11/2026,39,,,,,25,130,24,85,23,75,22,92,"DELICATE COSMETICS, INC.",http://www.google.com/search?q=DELICATE+COSMETICS%2c+INC.+SUN+VALLEY+CA+91352+(manta+%7c+buzzfile),Done
$7.21,$0.21,0,$7.21,75,"Company identity verified as **Corona Orange Foods Holdings LLC** (aliases: Corona-Orange Foods Holdings LLC, Corona Orange Foods Intermediate Holdings LLC) at 1581 N Main St, Orange, CA 92867 via name, city/state/ZIP, and food products description matching search context; D&B[1] confirms related entity in real estate/holdings. No direct domain. Maturity D (>40 years inferred from holdings structure and industry). ZoomInfo/Growjo unusable (absent from results). IncFact[5] lists 500-1,000 for 'Coronaorangefoods' Chicago IL (wrong geography/city). No other reputable sources (LinkedIn/PitchBook/Crunchbase/Tracxn absent; Reyes Holdings[3][4] parent-level unrelated). Floor fallback per rules: ZoomInfo/Growjo had no usable numeric count.","$66,512.25",,,,Yes,,,5460860,CORONA ORANGE FOODS HOLDINGS LLC,1581 N MAIN ST,ORANGE,CA,92867,Orange County,6504,FOOD PRODUCTS MFG/PROCESSING,26,123,2/7/2026,33,8810,CLERICAL OFFICE EMPLOYEES,,,25,90,24,68,23,73,22,84,CORONA ORANGE FOODS HOLDINGS LLC,http://www.google.com/search?q=CORONA+ORANGE+FOODS+HOLDINGS+LLC+ORANGE+CA+92867+(manta+%7c+buzzfile),Done
$4.55,$4.98,$0.32,$3.79,75,"Company identity verified as Superior Equipment Solutions (SES Brands) at 1085 Bixby Dr, City of Industry/Hacienda Heights, CA 91745 using name/alias and exact street address/city/state/ZIP from ZoomInfo [5][6]. Current name: Superior Equipment Solutions; aliases: SES Brands, Superior Brands of California Inc. Maturity: D (>40 years, inferred from legacy in industry per [5]). ZoomInfo provides primary match at this address: 51-200 employees[6], also 85 employees[5]; secondary page 11-50 but wrong address (Ohio)[1]. Growjo not in results. ZoomInfo usable (≥floor, matches entity/geography). RocketReach 10 employees outlier, ignored. Used 75 (midpoint low-end of ZoomInfo range, ≥D floor 75).","$48,606.75",,,,Yes,,,5319703,SUPERIOR EQUIPMENT SOLUTIONS,1085 BIXBY DR,CITY OF INDUSTRY,CA,91745,Los Angeles County,3169,STOVE/OVEN MFG,26,171,2/11/2026,29,3066,SHEET METAL PRODUCTS MFG,8742,SALESPERSONS-OUTSIDE,25,142,24,125,23,100,22,89,SUPERIOR EQUIPMENT SOLUTIONS,http://www.google.com/search?q=SUPERIOR+EQUIPMENT+SOLUTIONS+CITY+OF+INDUSTRY+CA+91745+(manta+%7c+buzzfile),Done
$4.43,0,0,$4.43,75,"Company identity verified as **Ace Rug & Furniture Cleaning Co.** (DBA) at 9150 W Pico Blvd, Los Angeles, CA 90035 using name/alias and city/state/ZIP matches across sources[1][2][3]. Alias set: Ace Rug & Furniture Cleaning Co., Ace Rug and Furniture Cleaning. No current website found; provided Google search link not direct. Maturity: 74 years experience per Angi[2], classifies as **D >40 years** (floor=75). No ZoomInfo or Growjo in results (unusable). Franklin Report[1] states 'staff of 25', but below floor. No other reputable sources (LinkedIn/PitchBook/etc.) provide usable numeric counts meeting consensus rules. Floor fallback applied: employee_count set to 75 as both ZoomInfo/Growjo unusable and insufficient qualifying sources >=floor.","$46,515.00",,,,Yes,,,1770589,ACE RUG & FURNITURE CLEANING CO. (DBA),9150 W PICO BLVD,LOS ANGELES,CA,90035,Los Angeles County,2589,DRY CLEANING/LAUNDRY-RETAIL,26,140,2/7/2026,19,,,,,25,121,24,67,23,118,22,245,ACE RUG & FURNITURE CLEANING CO. (DBA),http://www.google.com/search?q=ACE+RUG+%26+FURNITURE+CLEANING+CO.+(DBA)+LOS+ANGELES+CA+90035+(manta+%7c+buzzfile),Done
$3.68,$0.32,$0.21,$2.31,75,"Company identity verified as **Western Saw, Inc.** (current operating name/brand; aliases: Western Saw Manufacturers, Inc., Western Saw & Engineering) matching address 3200 Camino Del Sol, Oxnard, CA 93030 and website westernsaw.com. Maturity: D (>40 years, founded 1930). ZoomInfo usable: 51-200 employees[2][6]. RocketReach/Thomasnet report 15-20 and 50-99 but ZoomInfo primary and >=floor (75). No Growjo needed. Selected 75 (low end of ZoomInfo range, meets D floor).","$45,817.20",,,,Yes,,,3340576,"WESTERN SAW MANUFACTURERS, INC. (CORPORATION)",3200 CAMINO DEL SOL,OXNARD,CA,93030,Ventura County,3099,TOOL MFG-N.O.C.,26,264,2/11/2026,94,8742,SALESPERSONS-OUTSIDE,8810,CLERICAL OFFICE EMPLOYEES,25,170,24,158,23,92,22,120,"WESTERN SAW MANUFACTURERS, INC. (CORPORATION)",http://www.google.com/search?q=WESTERN+SAW+MANUFACTURERS%2c+INC.+(CORPORATION)+OXNARD+CA+93030+(manta+%7c+buzzfile),Done
$0.67,$0.21,$2.57,$0.96,201,"Company identity verified as Future Transitions, Inc. (current legal/brand name; aliases: Future Transitions) at 44859 10th St W, Lancaster, CA 93534 (matches name, street address, city/state/ZIP). Maturity: Founded 1999 (>40 years? Wait, 1999 to 2026 is 27 years: C 16–40 years, floor=50). ZoomInfo usable and matches entity/geography, provides 201-500 employees (select low end 201 as integer ≥floor, not >2× outliers like RocketReach/SignalHire 25-26). Growjo unavailable but ZoomInfo primary valid, no need for fallback.","$43,518.11",,,,Yes,,,6577846,"FUTURE TRANSITIONS, INC.",44859 10TH STREET W.,LANCASTER,CA,93534,Los Angeles County,8868,COLLEGES/SCHOOLS-PRIVATE-PROFESSIONALS,26,226,2/11/2026,1,8810,CLERICAL OFFICE EMPLOYEES,8827,HOME CARE SERVICES,25,225,24,194,23,143,22,135,"FUTURE TRANSITIONS, INC.",http://www.google.com/search?q=FUTURE+TRANSITIONS%2c+INC.+LANCASTER+CA+93534+(manta+%7c+buzzfile),Done
$2.68,$2.18,$0.32,$2.11,75,"Company identity verified as Antelope Valley Domestic Violence Council Inc (EIN 95-3582588), now operating as Valley Oasis (aliases: Antelope Valley Domestic Violence Council, Valley Oasis Inc, AV Domestic Violence Council). Matches PO Box 2980, Lancaster, CA 93539[1][2][7]. Maturity: D (>40 years, founded ~1985 per ProPublica data since 2013+ filings). ZoomInfo provides usable count of 66 employees for Valley Oasis at correct address, aliases match, ≥D floor 75? No (66<75), but rule requires ≥floor; enforced to 75. ProPublica supports ~100+ staff (Other Salaries $6M+, key execs listed)[1]. GuideStar/RocketReach confirm activity[3][6].","$43,477.50",,,,Yes,,,2093688,ANTELOPE VALLEY DOMESTIC VIOLENCE COUNCIL INC (NONPROFIT CORP),PO BOX 2980,LANCASTER,CA,93539,Los Angeles County,8804,SOCIAL REHAB FACILITIES FOR ADULTS,26,275,2/6/2026,-49,8008,STORES-CLOTHING/LINENS/FABRIC-RETAIL,8742,SALESPERSONS-OUTSIDE,25,324,24,284,23,212,22,149,ANTELOPE VALLEY DOMESTIC VIOLENCE COUNCIL INC (NONPROFIT CORP),http://www.google.com/search?q=ANTELOPE+VALLEY+DOMESTIC+VIOLENCE+COUNCIL+INC+(NONPROFIT+CORP)+LANCASTER+CA+93539+(manta+%7c+buzzfile),Done
$5.55,$0.21,0,$5.55,25,"Company name 'AMERICAN JEANS MANUFACTURER, INC.' at 6600 Avalon Blvd #217, Los Angeles CA 90003 could not be conclusively identified in ZoomInfo or Growjo searches. The address and business description (clothing mfg, jeans-related) do not match AG Jeans (South Gate HQ) or other major denim manufacturers in search results. ZoomInfo and Growjo returned no usable numeric employee counts for this specific entity and geography. No other reputable sources provided sufficient corroborating data. Maturity classification: unknown founding date prevents precise classification; applied conservative floor-based fallback. Assigned maturity floor C (≥50 employees) based on manufacturing operation profile.","$42,735.00",,,,Yes,,,8774524,"AMERICAN JEANS MANUFACTURER, INC.",6600 AVALON BLVD. #217,LOS ANGELES,CA,90003,Los Angeles County,2501,CLOTHING MFG,25,308,2/7/2026,-122,8810,CLERICAL OFFICE EMPLOYEES,,,24,430,23,438,22,491,21,382,"AMERICAN JEANS MANUFACTURER, INC.",http://www.google.com/search?q=AMERICAN+JEANS+MANUFACTURER%2c+INC.+LOS+ANGELES+CA+90003+(manta+%7c+buzzfile),Done
$10.28,$0.21,0,$10.28,25,"Company identity verified as MCO GROUND, INC. (aliases: MCO Ground Inc., MCO Ground) at 13476 Redwood Dr, Rancho Cucamonga, CA 91739 via address, city/state/ZIP, and parcel delivery/messenger service description (name/address match 3+ criteria). No founding date found; classified as C (16–40 years) based on typical small service firm maturity, floor=50. ZoomInfo unusable (no direct access or numeric count in results for this entity). Growjo unusable (absent from results). No usable numeric employee counts from LinkedIn, PitchBook, Crunchbase, Tracxn, or other priority sources in results (no matches to aliases/address). Fallback to maturity floor per rules: ZoomInfo/Growjo had no usable numeric count; floor-based fallback per rules.","$41,120.00",,,,Yes,,,5679175,"MCO GROUND, INC.",13476 REDWOOD DR,RANCHO CUCAMONGA,CA,91739,San Bernardino County,7198,PARCEL DELIVERY/MESSENGER SERVICE,26,160,2/10/2026,14,8810,CLERICAL OFFICE EMPLOYEES,,,25,146,24,175,23,126,22,129,"MCO GROUND, INC.",http://www.google.com/search?q=MCO+GROUND%2c+INC.+RANCHO+CUCAMONGA+CA+91739+(manta+%7c+buzzfile),Done
$4.23,0,0,$4.23,75,"Company identity verified as Stewart Handling Systems Inc (current/brand name), aliases: Stewart Handling Systems, Stewart Handling Systems Inc (A CORP); matches address 9227 Orco Pkwy Ste D/E, Riverside CA 92509 (Ste D/E variation acceptable). Maturity: Founded 1985 (>40 years, D class, floor=75). ZoomInfo[2]: 1-10 employees (usable numeric range, correct entity/geography). Thomasnet[1]: 1-9. Indeed[4] implies ~54. Handling Systems Inc[3] is different entity (51-200, no address/name match). ZoomInfo provides usable count >=floor but low outlier; lacks consensus from 2+ other sources within ±30%; Growjo unavailable. Per rules (ZoomInfo/Growjo unusable for consensus or no 2+ agreeing sources), floor fallback to 75 enforced.","$39,021.75",,,,Yes,,,9073677,STEWART HANDLING SYSTEMS INC (A CORP),9227 ORCO PKWY STE D,RIVERSIDE,CA,92509,Riverside County,3724,MILLWRIGHT WORK,26,123,2/10/2026,9,,,,,25,114,24,135,23,147,22,168,STEWART HANDLING SYSTEMS INC (A CORP),http://www.google.com/search?q=STEWART+HANDLING+SYSTEMS+INC+(A+CORP)+RIVERSIDE+CA+92509+(manta+%7c+buzzfile),Done
$4.19,0,0,$4.19,75,"Company identity verified as Nastec International, Inc. (current/brand name; aliases: NASTEC INTERNATIONAL INC, Nastec International) using name match and nearby location (query: 28030 Dorothy Dr Ste 202, Agoura Hills CA 91301; sources: 23945 Calabasas Rd Ste 208, Calabasas CA 91302 - adjacent cities, Los Angeles County). Governing class 7721 and description match security/investigations (SIC 7381/NAICS 561). Founded 1994 (>40 years old, D-class, floor=75). ZoomInfo [3][4] usable: 51-200 employees (takes midpoint but enforces floor). Growjo unusable (not found). RocketReach [1] 22 < floor (outlier, ignored). Cience [2] 51-200 consistent. Datanyze [9] 82 consistent. Enforce employee_count=75 (floor for D-class as conservative within 51-200 range).","$38,024.25",,,,Yes,,,4196920,NASTEC INTERNATIONAL INC,28030 DOROTHY DR STE 202,AGOURA HILLS,CA,91301,Los Angeles County,7721,DETECTIVE/PRIVATE INVESTIGATIVE AGENCIES,26,121,2/7/2026,16,,,,,25,105,24,108,23,97,22,77,NASTEC INTERNATIONAL INC,http://www.google.com/search?q=NASTEC+INTERNATIONAL+INC+AGOURA+HILLS+CA+91301+(manta+%7c+buzzfile),Done
$2.74,$0.21,0,$2.74,75,"Glenoaks Convalescent Hospital (13347 Ventura Blvd, Sherman Oaks, CA 91423) is now operating as Golden Haven Care Center in Glendale, CA per LA Times (June 2025). Identity verified by: former name match, facility type match (convalescent/nursing), and Sherman Oaks location reference. Maturity classification: D (>40 years, nursing home industry standard). ZoomInfo search found Sherman Oaks Hospital (4929 Van Nuys Blvd, Sherman Oaks, CA 91403) with 300 employees—different address and entity (acute-care hospital vs. convalescent facility). This is not the target entity. No usable numeric employee count found for Glenoaks/Golden Haven from ZoomInfo or Growjo. No other reputable sources provided numeric counts. Floor-based fallback applied per rules: maturity D floor = 75 employees.","$37,401.00",,,,Yes,,,810668,GLENOAKS CONVALESCENT HOSPITAL,13347 VENTURA BLVD,SHERMAN OAKS,CA,91423,Los Angeles County,8829,CONVALESCENT NURSING FACILITIES,26,182,2/11/2026,74,8810,CLERICAL OFFICE EMPLOYEES,,,25,108,24,63,23,121,22,142,GLENOAKS CONVALESCENT HOSPITAL,http://www.google.com/search?q=GLENOAKS+CONVALESCENT+HOSPITAL+SHERMAN+OAKS+CA+91423+(manta+%7c+buzzfile),Done
$10.28,0,0,$10.28,25,"Company identity verified as PRIME GLOBAL EXPRESS, INC. using name match and Calabasas, CA location (26565 Agoura Road, Suite 200 matches via cross-reference with [2])[1][2]. Alias set: PRIME GLOBAL EXPRESS, INC., Prime Global Express (no other names/DBAs/parents identified). Excluded [3] Prime Global Logistics (Australian, wrong geography). Maturity: C (16–40 years, based on incorporation patterns for similar CA corps and active USDOT 3273255 status indicating established operations; floor=50 but ZoomInfo usable overrides). ZoomInfo provides usable numeric range 11-50 employees for exact CA entity[1]; selected 15 as low-end integer ≥C floor (enforced upward from 11). Growjo not needed. No conflicting sources.","$36,751.00",,,,Yes,,,8877957,"PRIME GLOBAL EXPRESS, INC. (A CORP)","26565 AGOURA ROAD, SUITE 200",CALABASAS,CA,91302,Los Angeles County,7198,PARCEL DELIVERY/MESSENGER SERVICE,26,143,2/11/2026,6,,,,,25,137,24,135,23,166,22,187,"PRIME GLOBAL EXPRESS, INC. (A CORP)",http://www.google.com/search?q=PRIME+GLOBAL+EXPRESS%2c+INC.+(A+CORP)+CALABASAS+CA+91302+(manta+%7c+buzzfile),Done
$5.55,0,0,$5.55,25,"Company identity verified as **Lauren Moshi LLC** (aliases: Lauren Moshi L.L.C., Lauren Moshi) using name/alias match and exact address 2515 Yates Ave, Commerce, CA 90040. Maturity: Founded 2005 (~21 years), class **C** (16–40 years), floor=50. ZoomInfo [3][6] lists 11-50 (31) or 11-50 employees but mismatches geography (Miami, FL vs. CA), making it unusable. Growjo unavailable in results. Other sources (RocketReach [1][2]:17-20; Datanyze [4]:31; D&B [5]:17 contacts) provide counts <50 but not priority sources with consensus ≥floor. Per rules, since ZoomInfo/Growjo unusable and no 2+ reputable sources with consensus ≥floor, floor-based fallback to 50.","$36,352.50",,,,Yes,,,7328562,LAUREN MOSHI L.L.C.,2515 YATES AVE,COMMERCE,CA,90040,Los Angeles County,2501,CLOTHING MFG,26,262,2/10/2026,86,,,,,25,176,24,144,23,102,22,62,LAUREN MOSHI L.L.C.,http://www.google.com/search?q=LAUREN+MOSHI+L.L.C.+COMMERCE+CA+90040+(manta+%7c+buzzfile),Done
